time,4 mm,5 mm,7 mm
1/1/2021,37.2053299,37.68442917,37.26906586
1/2/2021,37.37914276,38.26380539,37.54651642
1/3/2021,37.52441406,38.74804306,37.83220673
1/4/2021,37.66368866,39.2122879,38.11913681
1/5/2021,37.77739334,39.59130478,38.41135406
1/6/2021,37.89036942,39.96789932,38.70355225
1/7/2021,37.98223495,40.27411652,38.99523163
1/8/2021,38.0739975,40.5799942,39.28687668
1/9/2021,38.15150833,40.83836365,39.57330322
1/10/2021,38.22745514,41.0915184,39.85855103
1/11/2021,38.29468155,41.31560135,40.13721848
1/12/2021,38.3595047,41.53168488,40.41307068
1/13/2021,38.41851044,41.72837067,40.68212509
1/14/2021,38.47531128,41.91770554,40.94763947
1/15/2021,38.5274353,42.09144974,41.20562744
1/16/2021,38.57827759,42.26091385,41.46097183
1/17/2021,38.62453842,42.41512299,41.70685959
1/18/2021,38.67079926,42.56932831,41.95274734
1/19/2021,38.71253586,42.70845413,42.18728638
1/20/2021,38.75408173,42.84693909,42.42134094
1/21/2021,38.79246521,42.97488022,42.64619064
1/22/2021,38.83041763,43.10138702,42.86978149
1/23/2021,38.86530685,43.2176857,43.08334732
1/24/2021,38.90019608,43.33398056,43.29690933
1/25/2021,38.93255615,43.44185257,43.50131989
1/26/2021,38.96447754,43.54825211,43.70413208
1/27/2021,38.99526215,43.65087509,43.90245438
1/28/2021,39.0246048,43.7486763,44.09505081
1/29/2021,39.05353165,43.84509659,44.2858696
1/30/2021,39.08074951,43.93582535,44.4693985
1/31/2021,39.10796738,44.02655411,44.6529274
2/1/2021,39.13335037,44.11116409,44.82810974
2/2/2021,39.15872192,44.19573975,45.00323868
2/3/2021,39.18284988,44.27616119,45.17239761
2/4/2021,39.20658875,44.35529327,45.33969116
2/5/2021,39.22951889,44.43172073,45.50291061
2/6/2021,39.25177383,44.50590515,45.66273499
2/7/2021,39.27378082,44.57926559,45.82126999
2/8/2021,39.2947464,44.64915848,45.97434998
2/9/2021,39.31560135,44.71866608,46.12680435
2/10/2021,39.33551788,44.78505325,46.27417374
2/11/2021,39.3552742,44.85091019,46.42066193
2/12/2021,39.37427521,44.91424179,46.56290436
2/13/2021,39.39304733,44.9768219,46.70386124
2/14/2021,39.41122055,45.03739929,46.84138107
2/15/2021,39.42909622,45.09698486,46.97713852
2/16/2021,39.44654465,45.15514374,47.11039734
2/17/2021,39.46352386,45.21173859,47.24084473
2/18/2021,39.4803009,45.26766205,47.37009811
2/19/2021,39.49644089,45.32146072,47.49544525
2/20/2021,39.51247406,45.37491608,47.62015533
2/21/2021,39.52819061,45.42729568,47.74287033
2/22/2021,39.54349899,45.47832489,47.86305237
2/23/2021,39.55860138,45.52865982,47.98191452
2/24/2021,39.57329559,45.57765198,48.09822083
2/25/2021,39.58781052,45.62603378,48.21334457
2/26/2021,39.60195541,45.67318344,48.32607651
2/27/2021,39.61592484,45.71974564,48.43764496
2/28/2021,39.6295433,45.76514053,48.54693222
2/1/2029,39.64302826,45.81009293,48.65532684
3/1/2021,39.65611649,45.85372162,48.76107788
3/2/2021,39.66920853,45.89735031,48.86683273
3/3/2021,39.68182373,45.93940353,48.96939468
3/4/2021,39.69439697,45.98131943,49.07168198
3/5/2021,39.70667648,46.02225113,49.17193604
3/6/2021,39.71880341,46.06266785,49.27114105
3/7/2021,39.73067474,46.10224915,49.36861038
3/8/2021,39.74239349,46.14130402,49.46498871
3/9/2021,39.75390625,46.17968369,49.55994415
3/10/2021,39.76520538,46.21734238,49.65338898
3/11/2021,39.77647781,46.25492096,49.74666214
3/12/2021,39.78738403,46.29127884,49.83732986
3/13/2021,39.79829025,46.3276329,49.9280014
3/14/2021,39.80888748,46.362957,50.01646805
3/15/2021,39.81945419,46.39818192,50.10470581
3/16/2021,39.82975006,46.43248749,50.19095993
3/17/2021,39.83998108,46.4665947,50.27677917
3/18/2021,39.84999466,46.49997711,50.36102295
3/19/2021,39.85993195,46.53309631,50.4446907
3/20/2021,39.86965942,46.56553268,50.52684402
3/21/2021,39.87934875,46.5978241,50.60869217
3/22/2021,39.88878632,46.62928391,50.68868256
3/23/2021,39.89822388,46.66074371,50.76867676
3/24/2021,39.90743256,46.69142914,50.84695435
3/25/2021,39.91660309,46.72200012,50.92495728
3/26/2021,39.92554855,46.75181961,51.00128555
3/27/2021,39.93447113,46.78156281,51.07743073
3/28/2021,39.94320679,46.81069183,51.15219116
3/29/2021,39.95187378,46.83957672,51.22639847
3/30/2021,39.96044159,46.86813736,51.29986572
3/31/2021,39.96886444,46.89621735,51.37223434
4/1/2021,39.97724152,46.92412567,51.4442215
4/2/2021,39.98545456,46.95151138,51.51499939
4/3/2021,39.99360275,46.97867584,51.58525848
4/4/2021,40.00164413,47.00547409,51.65468597
4/5/2021,40.00957108,47.03190231,51.72326279
4/6/2021,40.0174408,47.05813599,51.79137802
4/7/2021,40.02513885,47.08378983,51.85813904
4/8/2021,40.0328331,47.10943985,51.92490768
4/9/2021,40.04039383,47.13463974,51.9906044
4/10/2021,40.04788589,47.15961075,52.0557785
4/11/2021,40.05530167,47.18433762,52.12036514
4/12/2021,40.06261444,47.20871735,52.18414307
4/13/2021,40.06985855,47.23286057,52.24737167
4/14/2021,40.07701874,47.25671768,52.30991364
4/15/2021,40.08409119,47.28030014,52.37180328
4/16/2021,40.09109497,47.3036499,52.43315125
4/17/2021,40.09801865,47.32672501,52.49383545
4/18/2021,40.10487747,47.34958267,52.55400085
4/19/2021,40.11164856,47.37215805,52.61349487
4/20/2021,40.11836243,47.39453506,52.67251205
4/21/2021,40.12499237,47.41663742,52.73086929
4/22/2021,40.13156128,47.4385376,52.78874207
4/23/2021,40.13806152,47.46020126,52.84604263
4/24/2021,40.14448166,47.48160553,52.90271759
4/25/2021,40.15088654,47.50294495,52.95924759
4/26/2021,40.15716553,47.52388,53.01478195
4/27/2021,40.16343307,47.54476929,53.07021713
4/28/2021,40.16959,47.56529236,53.12475967
4/29/2021,40.17572403,47.58574295,53.17911911
4/30/2021,40.18175507,47.60585022,53.23265076
5/1/2021,40.18778992,47.6259613,53.28617859
5/2/2021,40.19369507,47.64564133,53.33867264
5/3/2021,40.19959259,47.66530228,53.39110947
5/4/2021,40.20542145,47.68472672,53.44296265
5/5/2021,40.21118927,47.7039566,53.49433517
5/6/2021,40.21692276,47.72307587,53.54543686
5/7/2021,40.22257233,47.74190521,53.59583282
5/8/2021,40.22821045,47.76069641,53.64612961
5/9/2021,40.23374176,47.77914047,53.69557571
5/10/2021,40.23927689,47.79758453,53.74501419
5/11/2021,40.24472046,47.81573486,53.79372025
5/12/2021,40.25014496,47.8338089,53.84225082
5/13/2021,40.25550079,47.85165787,53.8902092
5/14/2021,40.2608223,47.86940384,53.93791199
5/15/2021,40.26608276,47.88694382,53.98509979
5/16/2021,40.27131653,47.90437698,54.03203964
5/17/2021,40.27648163,47.92159271,54.07841873
5/18/2021,40.28162003,47.93872833,54.1246109
5/19/2021,40.28669357,47.9556427,54.17023087
5/20/2021,40.29174423,47.97247696,54.21566391
5/21/2021,40.29673767,47.9891243,54.26062775
5/22/2021,40.30169678,48.0056572,54.30529404
5/23/2021,40.30661392,48.02203751,54.34958649
5/24/2021,40.31148148,48.03826523,54.39348221
5/25/2021,40.31633377,48.05443573,54.43725204
5/26/2021,40.32111359,48.07036972,54.48040771
5/27/2021,40.32588196,48.08626938,54.52348709
5/28/2021,40.33058167,48.10193634,54.565979
5/29/2021,40.33527374,48.11757278,54.60838699
5/30/2021,40.33989334,48.1329689,54.65018845
5/31/2021,40.34451294,48.14836502,54.69198227
6/1/2021,40.34906387,48.16353989,54.73322296
6/2/2021,40.35359955,48.17865753,54.7743187
6/3/2021,40.35808945,48.19362259,54.81502914
6/4/2021,40.36254501,48.20848083,54.85546112
6/5/2021,40.36697388,48.22323608,54.89561844
6/6/2021,40.37135315,48.23784256,54.93541718
6/7/2021,40.37571716,48.252388,54.97504425
6/8/2021,40.38002396,48.26673889,55.01419449
6/9/2021,40.38433075,48.28109741,55.05334473
6/10/2021,40.38856506,48.29520798,55.09187317
6/11/2021,40.39279175,48.30929947,55.13033676
6/12/2021,40.39698792,48.32329178,55.16856384
6/13/2021,40.40113831,48.33711624,55.20634842
6/14/2021,40.40528488,48.3509407,55.24413681
6/15/2021,40.40937042,48.36455917,55.28138733
6/16/2021,40.41344452,48.37814713,55.31856155
6/17/2021,40.41748047,48.3915863,55.35536194
6/18/2021,40.42149353,48.40497208,55.39201355
6/19/2021,40.42546082,48.41820526,55.42827606
6/20/2021,40.42942047,48.43139267,55.4644165
6/21/2021,40.43333435,48.44445038,55.50022507
6/22/2021,40.43723297,48.45743942,55.53586578
6/23/2021,40.44109344,48.47031403,55.57119751
6/24/2021,40.44493866,48.48311996,55.60635757
6/25/2021,40.44874573,48.49580765,55.64120483
6/26/2021,40.45252991,48.50842285,55.67587662
6/27/2021,40.45628738,48.52095413,55.71031189
6/28/2021,40.46001434,48.53337479,55.74446487
6/29/2021,40.46373367,48.54577255,55.77856827
6/30/2021,40.4673996,48.55799103,55.81219482
7/1/2021,40.47106552,48.5702095,55.8458252
7/2/2021,40.47468948,48.58229065,55.87909698
7/3/2021,40.47829437,48.59431458,55.91222763
7/4/2021,40.48188019,48.60625839,55.94513702
7/5/2021,40.48543549,48.61811829,55.97784042
7/6/2021,40.48896408,48.629879,56.01026917
7/7/2021,40.49247742,48.64157867,56.04253769
7/8/2021,40.49596405,48.6532135,56.07465363
7/9/2021,40.49942398,48.66474533,56.10649109
7/10/2021,40.50286865,48.67622757,56.13819885
7/11/2021,40.50628662,48.68761826,56.16965485
7/12/2021,40.5096817,48.69893646,56.20093536
7/13/2021,40.51306152,48.71019745,56.23205948
7/14/2021,40.51640701,48.72135162,56.26290894
7/15/2021,40.51973724,48.73245621,56.29362488
7/16/2021,40.52304459,48.74347687,56.32411957
7/17/2021,40.52632904,48.75442886,56.35442734
7/18/2021,40.52959061,48.76529694,56.38452148
7/19/2021,40.53285217,48.77616501,56.41461563
7/20/2021,40.53606415,48.78687286,56.44428635
7/21/2021,40.53927612,48.7975769,56.47395325
7/22/2021,40.54245758,48.80818558,56.50335312
7/23/2021,40.54562378,48.81874084,56.53261948
7/24/2021,40.5487709,48.82923126,56.56171799
7/25/2021,40.55189514,48.8396492,56.59062195
7/26/2021,40.55500793,48.85001373,56.61937714
7/27/2021,40.55809402,48.8603096,56.64796066
7/28/2021,40.56116104,48.87052917,56.67634201
7/29/2021,40.56421661,48.8807106,56.70461273
7/30/2021,40.56724167,48.89080429,56.73266602
7/31/2021,40.57025909,48.90086365,56.76062012
8/1/2021,40.57325363,48.91083527,56.78834152
8/2/2021,40.57623672,48.92078018,56.81599045
8/3/2021,40.5791893,48.9306221,56.84336472
8/4/2021,40.58213425,48.94044113,56.87068939
8/5/2021,40.5850563,48.95018387,56.89780045
8/6/2021,40.58796692,48.95988083,56.92479324
8/7/2021,40.59085846,48.96952057,56.95162582
8/8/2021,40.59373093,48.97909927,56.978302
8/9/2021,40.59658813,48.98862457,57.00484467
8/10/2021,40.59943008,48.99808884,57.03121185
8/11/2021,40.60225677,49.00750732,57.05746078
8/12/2021,40.60505676,49.0168457,57.08349228
8/13/2021,40.60785675,49.02618027,57.10952377
8/14/2021,40.61062622,49.03541946,57.13528824
8/15/2021,40.61338806,49.04462433,57.1609726
8/16/2021,40.61613464,49.0537796,57.18651581
8/17/2021,40.61886215,49.06286621,57.21187592
8/18/2021,40.62158203,49.07193756,57.23720551
8/19/2021,40.62427521,49.08090973,57.26225281
8/20/2021,40.62696457,49.08987808,57.28730392
8/21/2021,40.62962723,49.09875488,57.31209946
8/22/2021,40.63228607,49.10761261,57.33685303
8/23/2021,40.63492203,49.11640167,57.36141968
8/24/2021,40.63755035,49.1251564,57.38588715
8/25/2021,40.64015961,49.13385773,57.41022491
8/26/2021,40.6427536,49.14250565,57.43441391
8/27/2021,40.64533997,49.15112305,57.45851898
8/28/2021,40.64790344,49.15966797,57.48242569
8/29/2021,40.65046692,49.16820908,57.50632858
8/30/2021,40.65299606,49.176651,57.529953
8/31/2021,40.65552521,49.18508148,57.55357361
9/1/2021,40.65803909,49.19345856,57.57702637
9/2/2021,40.66053772,49.20178986,57.60036469
9/3/2021,40.66302872,49.21009064,57.62361145
9/4/2021,40.66550064,49.21833038,57.646698
9/5/2021,40.66796112,49.22653961,57.66970062
9/6/2021,40.67041016,49.23469543,57.6925621
9/7/2021,40.67284393,49.2428093,57.71532059
9/8/2021,40.67526627,49.25087738,57.73794937
9/9/2021,40.67767715,49.25891876,57.76049805
9/10/2021,40.68006897,49.26689529,57.78288651
9/11/2021,40.68246078,49.2748642,57.805233
9/12/2021,40.6848259,49.28274918,57.82736969
9/13/2021,40.68719482,49.29063416,57.84950256
9/14/2021,40.68953705,49.29844666,57.87144089
9/15/2021,40.69187164,49.30624008,57.89331818
9/16/2021,40.69419861,49.31399536,57.91509628
9/17/2021,40.69651031,49.32169724,57.93673706
9/18/2021,40.69881439,49.32937622,57.95832062
9/19/2021,40.70110321,49.3370018,57.97974396
9/20/2021,40.7033844,49.34460068,58.00109863
9/21/2021,40.70564651,49.35214996,58.02233124
9/22/2021,40.707901,49.35966492,58.04346085
9/23/2021,40.71014404,49.36714172,58.06448746
9/24/2021,40.71237946,49.37459564,58.08544159
9/25/2021,40.71459961,49.38198471,58.10623932
9/26/2021,40.71681595,49.38938141,58.12703705
9/27/2021,40.7190094,49.39669418,58.14762497
9/28/2021,40.72120285,49.40399933,58.16819
9/29/2021,40.72338104,49.4112587,58.18862915
9/30/2021,40.72554779,49.41849136,58.20898056
10/1/2021,40.72770691,49.42568588,58.22924805
10/2/2021,40.72985458,49.43284225,58.24940872
10/3/2021,40.73199463,49.43996811,58.26947021
10/4/2021,40.73411942,49.44706345,58.28946304
10/5/2021,40.73623657,49.45411301,58.30932999
10/6/2021,40.7383461,49.46114349,58.32913589
10/7/2021,40.74044037,49.46812439,58.34882355
10/8/2021,40.74252319,49.47507477,58.36842346
10/9/2021,40.7446022,49.48200226,58.3879509
10/10/2021,40.74666977,49.48888779,58.40736389
10/11/2021,40.74872589,49.49574661,58.42671585
10/12/2021,40.75077438,49.50257111,58.44596863
10/13/2021,40.75281143,49.50936508,58.46512985
10/14/2021,40.75484085,49.51613235,58.48422623
10/15/2021,40.75685883,49.52285385,58.50320053
10/16/2021,40.75887299,49.52956772,58.52215576
10/17/2021,40.76086807,49.53621674,58.54092789
10/18/2021,40.76286316,49.54286575,58.55970383
10/19/2021,40.76484299,49.54946899,58.57835007
10/20/2021,40.76681519,49.55604553,58.59692383
10/21/2021,40.76878357,49.56260681,58.615448
10/22/2021,40.77073669,49.56911469,58.63384247
10/23/2021,40.772686,49.57561493,58.65220642
10/24/2021,40.77462006,49.58206177,58.67042542
10/25/2021,40.77655411,49.58850479,58.68864059
10/26/2021,40.7784729,49.59490967,58.70674515
